,State,LGA region,Postcode
1663,New South Wales,Wentworth,3496
1664,New South Wales,Wentworth,3498
1665,New South Wales,Wentworth,3500
1667,New South Wales,Wentworth,3505
1668,New South Wales,Wentworth,5440
1675,New South Wales,Willoughby,2068
1680,New South Wales,Wingecarribee,2571
1681,New South Wales,Wingecarribee,2572
1686,New South Wales,Wingecarribee,2578
1696,New South Wales,Wollondilly,2568
1701,New South Wales,Wollondilly,2573
1710,New South Wales,Wollongong,2500
1711,New South Wales,Wollongong,2502
1712,New South Wales,Wollongong,2505
1713,New South Wales,Wollongong,2506
1715,New South Wales,Wollongong,2515
1716,New South Wales,Wollongong,2516
1717,New South Wales,Wollongong,2517
1718,New South Wales,Wollongong,2518
1719,New South Wales,Wollongong,2519
1720,New South Wales,Wollongong,2525
1721,New South Wales,Wollongong,2526
1736,New South Wales,Woollahra,2028
1745,New South Wales,Wyong,2263
1756,New South Wales,Yass Valley,2611
1757,New South Wales,Yass Valley,2615
1758,New South Wales,Yass Valley,2618
1780,Northern Territory,Alice Springs,870
1781,Northern Territory,Alice Springs,872
1782,Northern Territory,Barkly,852
1783,Northern Territory,Barkly,860
1784,Northern Territory,Barkly,862
1786,Northern Territory,Barkly,4825
1787,Northern Territory,Barkly,4829
1788,Northern Territory,Belyuen,822
1789,Northern Territory,Belyuen,840
1793,Northern Territory,Central Desert,6770
1796,Northern Territory,Coomalie,841
1797,Northern Territory,Coomalie,845
1798,Northern Territory,Coomalie,846
1799,Northern Territory,Darwin,800
1800,Northern Territory,Darwin,810
1801,Northern Territory,Darwin,812
1802,Northern Territory,Darwin,820
1804,Northern Territory,Darwin,828
1805,Northern Territory,Darwin,830
1808,Northern Territory,East Arnhem,880
1809,Northern Territory,East Arnhem,885
1811,Northern Territory,Katherine,850
1813,Northern Territory,Katherine,853
1817,Northern Territory,Litchfield,829
1819,Northern Territory,Litchfield,832
1820,Northern Territory,Litchfield,835
1821,Northern Territory,Litchfield,836
1822,Northern Territory,Litchfield,837
1823,Northern Territory,Litchfield,838
1829,Northern Territory,MacDonnell,5710
1830,Northern Territory,MacDonnell,5731
1841,Northern Territory,Roper Gulf,854
1847,Northern Territory,Victoria-Daly,847
1850,Northern Territory,Victoria-Daly,6740
1851,Northern Territory,Victoria-Daly,6743
1857,Northern Territory,West Arnhem,886
1858,Queensland,Aurukun,4871
1859,Queensland,Aurukun,4874
1865,Queensland,Balonne,4417
1866,Queensland,Balonne,4422
1867,Queensland,Balonne,4465
1869,Queensland,Balonne,4487
1875,Queensland,Banana,4413
1876,Queensland,Banana,4419
1877,Queensland,Banana,4420
1878,Queensland,Banana,4454
1879,Queensland,Banana,4455
1880,Queensland,Banana,4630
1881,Queensland,Banana,4680
1882,Queensland,Banana,4695
1883,Queensland,Banana,4699
1884,Queensland,Banana,4702
1885,Queensland,Banana,4714
1886,Queensland,Banana,4715
1887,Queensland,Banana,4716
1888,Queensland,Banana,4718
1889,Queensland,Banana,4719
1890,Queensland,Barcaldine,4472
1891,Queensland,Barcaldine,4478
1893,Queensland,Barcaldine,4721
1894,Queensland,Barcaldine,4722
1895,Queensland,Barcaldine,4724
1896,Queensland,Barcaldine,4725
1897,Queensland,Barcaldine,4726
1898,Queensland,Barcaldine,4727
1899,Queensland,Barcaldine,4728
1900,Queensland,Barcaldine,4730
1901,Queensland,Barcaldine,4733
1902,Queensland,Barcaldine,4816
1903,Queensland,Barcaldine,4820
1904,Queensland,Barcoo,4480
1905,Queensland,Barcoo,4481
1908,Queensland,Barcoo,4731
1912,Queensland,Blackall Tambo,4470
1914,Queensland,Blackall Tambo,4477
1927,Queensland,Brisbane,4000
1928,Queensland,Brisbane,4005
1929,Queensland,Brisbane,4006
1930,Queensland,Brisbane,4007
1931,Queensland,Brisbane,4008
1932,Queensland,Brisbane,4009
1933,Queensland,Brisbane,4010
1934,Queensland,Brisbane,4011
1935,Queensland,Brisbane,4012
1936,Queensland,Brisbane,4013
1937,Queensland,Brisbane,4014
1938,Queensland,Brisbane,4017
1939,Queensland,Brisbane,4018
1940,Queensland,Brisbane,4025
1941,Queensland,Brisbane,4030
1942,Queensland,Brisbane,4031
1943,Queensland,Brisbane,4032
1944,Queensland,Brisbane,4034
1945,Queensland,Brisbane,4035
1946,Queensland,Brisbane,4036
1947,Queensland,Brisbane,4051
1948,Queensland,Brisbane,4053
1949,Queensland,Brisbane,4054
1950,Queensland,Brisbane,4055
1951,Queensland,Brisbane,4059
1952,Queensland,Brisbane,4060
1953,Queensland,Brisbane,4061
1954,Queensland,Brisbane,4064
1955,Queensland,Brisbane,4065
1956,Queensland,Brisbane,4066
1957,Queensland,Brisbane,4067
1958,Queensland,Brisbane,4068
1959,Queensland,Brisbane,4069
1960,Queensland,Brisbane,4070
1961,Queensland,Brisbane,4072
1962,Queensland,Brisbane,4073
1963,Queensland,Brisbane,4074
1964,Queensland,Brisbane,4075
1965,Queensland,Brisbane,4076
1966,Queensland,Brisbane,4077
1967,Queensland,Brisbane,4078
1968,Queensland,Brisbane,4101
1969,Queensland,Brisbane,4102
1970,Queensland,Brisbane,4103
1971,Queensland,Brisbane,4104
1972,Queensland,Brisbane,4105
1973,Queensland,Brisbane,4106
1974,Queensland,Brisbane,4107
1975,Queensland,Brisbane,4108
1976,Queensland,Brisbane,4109
1977,Queensland,Brisbane,4110
1978,Queensland,Brisbane,4111
1979,Queensland,Brisbane,4112
1980,Queensland,Brisbane,4113
1981,Queensland,Brisbane,4114
1982,Queensland,Brisbane,4115
1983,Queensland,Brisbane,4116
1984,Queensland,Brisbane,4117
1985,Queensland,Brisbane,4118
1986,Queensland,Brisbane,4119
1987,Queensland,Brisbane,4120
1988,Queensland,Brisbane,4121
1989,Queensland,Brisbane,4122
1990,Queensland,Brisbane,4123
1991,Queensland,Brisbane,4124
1992,Queensland,Brisbane,4127
1993,Queensland,Brisbane,4151
1994,Queensland,Brisbane,4152
1995,Queensland,Brisbane,4153
1996,Queensland,Brisbane,4154
1997,Queensland,Brisbane,4155
1998,Queensland,Brisbane,4156
1999,Queensland,Brisbane,4157
2000,Queensland,Brisbane,4159
2001,Queensland,Brisbane,4169
2002,Queensland,Brisbane,4170
2003,Queensland,Brisbane,4171
2004,Queensland,Brisbane,4172
2005,Queensland,Brisbane,4173
2006,Queensland,Brisbane,4174
2007,Queensland,Brisbane,4178
2008,Queensland,Brisbane,4179
2009,Queensland,Brisbane,4300
2010,Queensland,Brisbane,4303
2011,Queensland,Brisbane,4306
2012,Queensland,Brisbane,4312
2013,Queensland,Brisbane,4500
2014,Queensland,Brisbane,4501
2015,Queensland,Brisbane,4503
2016,Queensland,Brisbane,4520
2024,Queensland,Bundaberg,4620
2025,Queensland,Bundaberg,4621
2026,Queensland,Bundaberg,4625
2028,Queensland,Bundaberg,4659
2029,Queensland,Bundaberg,4660
2030,Queensland,Bundaberg,4670
2031,Queensland,Bundaberg,4671
2032,Queensland,Bundaberg,4673
2033,Queensland,Bundaberg,4674
2034,Queensland,Bundaberg,4676
2036,Queensland,Burdekin,4804
2037,Queensland,Burdekin,4805
2038,Queensland,Burdekin,4806
2039,Queensland,Burdekin,4807
2040,Queensland,Burdekin,4808
2041,Queensland,Burdekin,4809
2042,Queensland,Burdekin,4810
2045,Queensland,Burke,4824
2047,Queensland,Burke,4830
2048,Queensland,Burke,4890
2049,Queensland,Cairns,4860
2050,Queensland,Cairns,4861
2051,Queensland,Cairns,4865
2052,Queensland,Cairns,4868
2053,Queensland,Cairns,4869
2054,Queensland,Cairns,4870
2056,Queensland,Cairns,4872
2057,Queensland,Cairns,4873
2058,Queensland,Cairns,4877
2059,Queensland,Cairns,4878
2060,Queensland,Cairns,4879
2061,Queensland,Cairns,4880
2062,Queensland,Cairns,4881
2063,Queensland,Cairns,4884
2064,Queensland,Cairns,4895
2065,Queensland,Carpentaria,4823
2070,Queensland,Carpentaria,4891
2072,Queensland,Cassowary Coast,4849
2073,Queensland,Cassowary Coast,4850
2074,Queensland,Cassowary Coast,4852
2075,Queensland,Cassowary Coast,4854
2076,Queensland,Cassowary Coast,4855
2077,Queensland,Cassowary Coast,4856
2078,Queensland,Cassowary Coast,4857
2079,Queensland,Cassowary Coast,4858
2080,Queensland,Cassowary Coast,4859
2084,Queensland,Cassowary Coast,4886
2090,Queensland,Central Highlands,4705
